ASSET_NAME,TYPE,AMENITIES,Latitude,Longitude
RIVERSIDE DRIVE PARKETTE,Park,,43.6380643873947,-79.4766058699907
RANLEIGH PARK,Park,Outdoor Fitness Equipment,43.7285212945419,-79.4000653136605
DAVID PECAUT SQUARE,Park,,43.6462319593113,-79.3880527039295
JOLLY WAY PARK,Park,"Outdoor Fitness Equipment, Playground",43.7657334477713,-79.2782849841374
GREENWOOD PARK,Park,"Ball Diamond, Dog Off-Leash Area, Firepit, Outdoor Dry Pad, Outdoor Fitness Equipment, Outdoor Ping Pong/Table Tennis, Pickleball Court, Picnic Site, Playground, Sports Field, Washroom",43.6688907552528,-79.3286087969836
ETIENNE BRULE PARK,Park,"Firepit, Picnic Site, Washroom",43.652696065282,-79.4913646528996
ARLINGTON PARKETTE,Park,Playground,43.6914432653416,-79.4334146867407
MAGWOOD PARK,Park,"Ball Diamond, Basketball Court, Playground",43.6574809794854,-79.4974882250038
GRAFTON AVENUE PARK,Park,,43.6394743640942,-79.4460196176447
FLORA VOISEY PARK,Park,Playground,43.62123229033,-79.4847984685059
EVERGREEN GARDENS PARK,Park,Playground,43.69608274633,-79.3725490018276
COLUMBUS PARKETTE,Park,Playground,43.6509559895304,-79.4460214346792
MARKET LANE PARK,Park,,43.649751099758,-79.3724104650962
TORONTO SCULPTURE GARDEN,Park,,43.6498364266827,-79.3736612956797
MERRILL PARK,Park,Playground,43.7034200934368,-79.5060978764317
KIMBARK - COLDSTREAM RAVINE,Park,,43.7174160817301,-79.4163181123267
HOLMES PARK,Park,Playground,43.7778208973346,-79.4134188263077
MAIN SEWAGE TREATMENT PLAYGROUND,Park,"Ball Diamond, Basketball Court, Outdoor Dry Pad, Pickleball Court, Sports Field",43.663475781928,-79.3176511841085
KENASTON PARK,Park,,43.7670660612967,-79.3855958782746
VILLAGE GREEN PARK,Park,"Basketball Court, Playground, Sports Field",43.735380457832,-79.5636439368433
LANGHOLM PARK,Park,Playground,43.735644526742,-79.488843115081
GUILD PARK AND GARDENS,Park,Washroom,43.7465778090197,-79.1918974132225
DONNYBROOK PARK,Park,Playground,43.6531548196053,-79.5207004271259
JACKSON PARKETTE,Park,,43.6531372064345,-79.5111066888333
WIGMORE PARK,Park,"Ball Diamond, Playground",43.7305127297612,-79.3133905165899
DOWNSVIEW PARK AND LAWN BOWLING GREENS,Park,,43.7190723144671,-79.5125734946005
PARLIAMENT SQUARE PARK,Park,Sports Field,43.650014659321,-79.3627661947663
LINKWOOD LANE PARK,Park,"Dog Off-Leash Area, Playground, Sports Field",43.7147997918181,-79.3240286429073
PARKDALE AMPHITHEATRE,Park,,43.6423708416688,-79.4291627826753
MONSIGNOR FRASER COLLEGE PARK,Park,,43.6666189801274,-79.4134842482422
34 HANNA AVENUE PARK,Park,,43.6382319256394,-79.4197219524482
BUDAPEST PARK,Park,"Beach, Outdoor Fitness Equipment, Playground, Washroom",43.6368580787462,-79.4493275020452
CLOSE AVENUE PARKETTE,Park,Playground,43.6370908434496,-79.4349850322132
DAVENPORT VILLAGE PARK,Park,Playground,43.6693344928687,-79.4495415879971
JOSEPH BANNON PARK,Park,"Playground, Sports Field",43.7324129746878,-79.5347783133348
BLOORDALE PARK NORTH,Park,Playground,43.6402627042008,-79.575352078324
BLOORDALE PARK SOUTH,Park,"Playground, Tennis Court",43.6367217859226,-79.570250305953
ORDNANCE PARK,Park,,43.6395047697051,-79.4079630866501
LAKE CRESCENT ROAD END PARKETTE,Park,,43.6074276523409,-79.4881465570028
CLOUD GARDENS,Park,,43.6511843140751,-79.3797165089155
KENNEDY - MARGDON PARKETTE,Park,"Outdoor Fitness Equipment, Playground",43.6523231740481,-79.4733408555681
EAST MALL PARK,Park,"Playground, Tennis Court",43.6424081722153,-79.5573117614495
DUPONT-SHAW PARKETTE,Park,Outdoor Fitness Equipment,43.670390296208,-79.4284587256223
MASSEY HARRIS PARK,Park,,43.6414414740336,-79.4133351339896
