Name,Latitude,Longitude
I.D.A.,43.6534032,-79.4668148
Shoppers Drug Mart,43.6936589,-79.5572609
Shoppers Drug Mart,43.6581658,-79.3296708
Yonge Health Pharmacy,43.6968937,-79.3960808
Pharmasave,43.7811746,-79.4100044
Shoppers Drug Mart,43.6498323,-79.3919735
I.D.A.,43.6604322,-79.3859245
Rexall,43.6883518,-79.3936221
Rexall,43.6466713,-79.3873938
Shoppers Drug Mart,43.7411562,-79.4353475
Rexall,43.7372629,-79.2492904
Jane Pharmacy,43.7053233,-79.5047809
U&C Pharmacy,43.6590672,-79.3908894
Sunnybrook Pharmacy,43.7216899,-79.3765725
Pharmore Kennedy Medical Centre,43.7316315,-79.2682767
Shoppers Drug Mart,43.7592341,-79.4663586
C.C. Pharmacy,43.6860484,-79.3930321
Rexall,43.6884832,-79.4124843
Shoppers Drug Mart,43.6476245,-79.3812395
Sheppard Warden Pharmacy,43.7794505,-79.3066964
I.D.A.,43.7588059,-79.5199463
Eglinton Bathurst Pharmacy,43.7010547,-79.4260307
Rexall,43.6490903,-79.3815653
Toronto Manning Drug Mart,43.6519468,-79.3979747
Rexall,43.6577333,-79.3900615
Shoppers Drug Mart,43.7063262,-79.3751848
Shoppers Drug Mart,43.6683115,-79.3968395
Shoppers Drug Mart,43.732314,-79.4043448
I.D.A.,43.764397,-79.488908
Metropolitan Pharmacy,43.6408964,-79.3935411
Pharmasave,43.727291,-79.326536
Main Drug Mart,43.7812948,-79.444444
Mt. Pleasant Pharmacy,43.708406,-79.389142
Shoppers Drug Mart,43.7197797,-79.510573
I.D.A.,43.820455,-79.261687
Highland Creek Pharmacy,43.7837065,-79.1703804
Rexall,43.5931672,-79.5383445
Shoppers Drug Mart,43.7973523,-79.1511773
Shoppers Drug Mart,43.7191541,-79.432502
Shoppers Drug Mart,43.6399763,-79.4390501
Razi Pharmacy,43.708223,-79.391906
Don Russell Pharmacy,43.6008925,-79.503899
Shoppers Drug Mart,43.6015878,-79.502225
Kassel's Pharmacy,43.6193503,-79.4998498
Akron's Guardian Pharmacy,43.6175066,-79.4875616
I.D.A.,43.614751,-79.4889995
Pharmasave,43.6148665,-79.5575523
Shoppers Drug Mart,43.6528291,-79.379902
Pharmasave,43.5963606,-79.5260977
I.D.A.,43.7558253,-79.4377673
Rexall,43.775949,-79.322289
Main Drug Mart,43.771055,-79.36995
Shoppers Drug Mart,43.7750696,-79.3224537
Get Well Pharmacy,43.6213245,-79.5260977
Main Drug Mart,43.7889562,-79.2578845
Shoppers Drug Mart,43.7255541,-79.4552028
Shoppers Drug Mart,43.7072659,-79.359989
Wellness Centre Pharmacy,43.5978459,-79.5438866
Lingeman IDA Pharmacy,43.6587122,-79.4881528
Shoppers Drug Mart,43.6591684,-79.4530098
Bayside Medical Pharmacy,43.7076934,-79.3757098
I.D.A.,43.7684761,-79.3810887
Shoppers Simply Pharmacy,43.7686575,-79.3775042
Pharmasave,43.6499197,-79.4825323
Dundas Kipling Pharmacy,43.635892,-79.5399423
Shoppers Drug Mart,43.7914853,-79.4444685
I.D.A.,43.6743914,-79.4598956
Finch-Leslie Pharmacy,43.7908271,-79.367102
I.D.A.,43.6822428,-79.4713047
Guardian,43.7136618,-79.3068003
Willowdale Pharmacy,43.7895756,-79.4175882
9-eleven Drug Market,43.7890287,-79.4183186
