price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft
423000.0,423000.0,423000.0,CONDO,CONDO,Church Yonge Corridor,43.660165,-79.3761657,1,1,1,750.0
417000.0,417000.0,417000.0,CONDO,CONDO,Annex,43.6703836,-79.3944212,1,0,1,350.0
480000.0,480000.0,480000.0,CONDO,CONDO,Moss Park,43.6522223,-79.3708763,1,0,1,350.0
449900.0,449900.0,449900.0,CONDO,CONDO,Church Yonge Corridor,43.6590857,-79.3756802,2,0,1,950.0
499000.0,499000.0,499000.0,CONDO,CONDO,Niagara,43.6432744,-79.404727,1,1,1,650.0
499000.0,499000.0,499000.0,CONDO,CONDO,Bay Street Corridor,43.6620243,-79.3865463,1,0,1,350.0
429000.0,429000.0,429000.0,CONDO,CONDO,South Riverdale,43.66513339999999,-79.3414981,1,0,1,550.0
499000.0,499000.0,499000.0,CONDO,CONDO,Waterfront Communities C1,43.6412251,-79.3809582,1,0,1,550.0
439000.0,439000.0,439000.0,CONDO,CONDO,Church Yonge Corridor,43.6515293,-79.375757,2,1,1,350.0
409900.0,409900.0,409900.0,CONDO,CONDO,Kensington Chinatown,43.6519551,-79.3894676,1,0,1,550.0
469000.0,469000.0,469000.0,CONDO,CONDO,Mount Pleasant West,43.7070855,-79.3977452,1,1,1,550.0
485000.0,485000.0,485000.0,CONDO,CONDO,Waterfront Communities The Island,43.6383693,-79.3986981,1,0,1,550.0
499900.0,499900.0,499900.0,CONDO,CONDO,Waterfront Communities C1,43.648321,-79.3928867,1,0,1,550.0
488000.0,488000.0,488000.0,CONDO,CONDO,Moss Park,43.6574957,-79.3743712,2,0,1,550.0
478880.0,478880.0,478880.0,CONDO,CONDO,Church Yonge Corridor,43.6704872,-79.3845738,1,0,1,550.0
469000.0,469000.0,469000.0,CONDO,CONDO,Church-Yonge Corridor,43.6561669,-79.3751316,1,0,1,350.0
429000.0,429000.0,429000.0,CONDO,CONDO,Mount Pleasant West,43.7105383,-79.3932829,1,0,1,350.0
419900.0,419900.0,419900.0,CONDO,CONDO,Mount Pleasant West,43.7104736,-79.3924946,1,0,1,550.0
