NAME,ADDRESS_FULL,BOARD_NAME,SCHOOL_TYPE_DESC,Latitude,Longitude
WEST HILL COLLEGIATE INSTITUTE,350 Morningside Ave,Toronto District School Board,English Public,43.7756684257862,-79.1905875661913
WEST HILL PUBLIC SCHOOL,299 Morningside Ave,Toronto District School Board,English Public,43.7726796050533,-79.1868844429518
WEST HUMBER COLLEGIATE INSTITUTE,1675 Martin Grove Rd,Toronto District School Board,English Public,43.7309224094366,-79.5867053925658
WEST HUMBER JR MDL SCHOOL ,15 Delsing Dr,Toronto District School Board,English Public,43.7237549779012,-79.5807026757453
WEST PREPARATORY JR PUBLIC SCHOOL,70 Ridge Hill Dr,Toronto District School Board,English Public,43.7026161891079,-79.4329440583326
WEST ROUGE JR PUBLIC SCHOOL,401 Friendship Ave,Toronto District School Board,English Public,43.7956184194221,-79.1337159199136
WESTERN TECHNICAL COMMERCIAL SCHOOL,125 Evelyn Cres,Toronto District School Board,English Public,43.6570914920911,-79.4745815146538
WESTFIELD EDUCATION,33 Mallard Rd,,Private,43.7472875203276,-79.3495839854191
WESTMINSTER CLASSICAL CHRISTIAN ACADEMY ELEMENTARY SCHOOL,9 Hewitt Ave,,Private,43.6522281973273,-79.4518463936452
WESTMOUNT JR SCHOOL,95 Chapman Rd,Toronto District School Board,English Public,43.6890961288899,-79.519659304979
WESTON COLLEGIATE INSTITUTE,100 Pine St,Toronto District School Board,English Public,43.7038163110412,-79.5094217518773
WESTON MEMORIAL JR PUBLIC SCHOOL,200 John St,Toronto District School Board,English Public,43.7059781548181,-79.5093299362394
WESTSIDE MONTESSORI ELEMENTARY SCHOOL,95 Bellevue Ave,,Private,43.6564497385304,-79.4038394278911
WESTVIEW CENTENNIAL HIGH SCHOOL,755 Oakdale Rd,Toronto District School Board,English Public,43.7523976347813,-79.5250905310153
WESTWAY JR SCHOOL,25 Poynter Dr,Toronto District School Board,English Public,43.6908221223255,-79.5489933081465
WESTWOOD MDL SCHOOL ,994 Carlaw Ave,Toronto District School Board,English Public,43.6864953869061,-79.3509795618846
WEXFORD COLLEGIATE SCHOOL FOR THE ARTS,1176 Pharmacy Ave,Toronto District School Board,English Public,43.7461595742932,-79.3067953750859
WEXFORD PUBLIC SCHOOL,1050 Pharmacy Ave,Toronto District School Board,English Public,43.7401530486018,-79.3041148885222
WHITE HAVEN JR PUBLIC SCHOOL,105 Invergordon Ave,Toronto District School Board,English Public,43.7872721001055,-79.2472058211989
WHITEFIELD CHRISTIAN SCHOOLS - BLDG 1,5808 Finch Ave E,,Private,43.8163254158006,-79.2296124630158
WHITEFIELD CHRISTIAN SCHOOLS - BLDG 2,5810 Finch Ave E,,Private,43.8164562371549,-79.2288599679618
WHITNEY JR PUBLIC SCHOOL,119 Rosedale Heights Dr,Toronto District School Board,English Public,43.6871603367392,-79.3783972733833
WILKINSON JR PUBLIC SCHOOL,53 Donlands Ave,Toronto District School Board,English Public,43.6820416289563,-79.3374832389852
WILLIAM ACADEMY SCARBOROUGH CAMPUS,3761 Victoria Park Ave,,Private,43.8080424111396,-79.3365737852621
WILLIAM BURGESS ELEMENTARY SCHOOL,100 Torrens Ave,Toronto District School Board,English Public,43.6919277285052,-79.348157733051
WILLIAM G DAVIS JR PUBLIC SCHOOL ,128 East Ave,Toronto District School Board,English Public,43.7850464257848,-79.1344743650252
WILLIAM G MILLER JR PUBLIC SCHOOL,60 Bennett Rd,Toronto District School Board,English Public,43.7685135568036,-79.1650340052142
WILLIAM J MCCORDIC SCHOOL,45 Balfour Ave,Toronto District School Board,English Public,43.6906318395424,-79.2989833380474
WILLIAM LYON MACKENZIE COLLEGIATE INSTITUTE ,20 Tillplain Rd,Toronto District School Board,English Public,43.7534709581119,-79.4618941501249
WILLIAMSON ROAD JR PUBLIC SCHOOL ,24 Williamson Rd,Toronto District School Board,English Public,43.6745110572076,-79.2974698038611
WILLOW PARK JR PUBLIC SCHOOL,45 Windover Dr,Toronto District School Board,English Public,43.7611980953357,-79.2095785361357
WILLOWDALE CHRISTIAN SCHOOL,60 Hilda Ave,,Private,43.7863397243401,-79.4248854064165
WILLOWDALE HIGH SCHOOL,160 Eglinton Ave E,,Private,43.7080272673727,-79.3936891401787
WILLOWDALE MDL SCHOOL ,225 Senlac Rd,Toronto District School Board,English Public,43.7697752168093,-79.4260889715705
WILLOWWOOD SCHOOL,55 Scarsdale Rd,,Private,43.748381228606,-79.3534844661428
WILMINGTON ELEMENTARY SCHOOL ,330 Wilmington Ave,Toronto District School Board,English Public,43.7685583806317,-79.4604980247184
WINCHESTER JR & SR PUBLIC SCHOOL ,15 Prospect St,Toronto District School Board,English Public,43.6663306750224,-79.3708962772997
WINDFIELDS MIDDLE SCHOOL ,375 Banbury Rd,Toronto District School Board,English Public,43.7561115796205,-79.3705792903782
WINONA DRIVE SR PUBLIC SCHOOL,101 Winona Dr,Toronto District School Board,English Public,43.6770020664784,-79.4308587867559
WINSTON CHURCHILL COLLEGIATE INSTITUTE ,2239 Lawrence Ave E,Toronto District School Board,English Public,43.7480914839731,-79.2783774186933
WISE OWL PRIVATE SCHOOL,99A Sheppard Ave W,,Private,43.760125217764,-79.416045335452
WITHROW AVE JR & QUEST ALTERNATIVE SR,25 Bain Ave,Toronto District School Board,English Public,43.670460460892,-79.3521296600971
WOBURN COLLEGIATE INSTITUTE ,2222 Ellesmere Rd,Toronto District School Board,English Public,43.7781651122844,-79.2284585858987
WOBURN JR PUBLIC SCHOOL ,40 Dormington Dr,Toronto District School Board,English Public,43.779502795504,-79.2270016649434
WOODBINE JR HIGH & N/E SECONDARY ALTERNATIVE,2900 Don Mills Rd E,Toronto District School Board,English Public,43.7824288154923,-79.349385410988
YESHIVA BNEI TZION OF BOBOV SCHOOL,44 Champlain Blvd,,Private,43.7328229093929,-79.4440053399192
YESHIVA DARCHEI TORAH SCHOOL,18 Champlain Blvd,,Private,43.7339454269568,-79.4448408334416
YESHIVA GEDOLAH OF TORONTO,567 Lawrence Ave W,,Private,43.7176693343951,-79.4356269358583
YESHIVA NACHALAS ZVI SCHOOL,475 Lawrence Ave W,,Private,43.7194150373911,-79.427877939254
YESHIVA OR CHAIM BNEI AKIVA BOYS SCHOOL,159 Almore Ave,,Private,43.7454893525816,-79.4483782516314
YESHIVA YESODEI HATORAH SCHOOL,77 Glen Rush Blvd,,Private,43.7179922890113,-79.425863935611
YESHIVAS NEFESH DOVID SCHOOL,77 Stormont Ave,,Private,43.7186338889492,-79.4276757269062
YORK HUMBER HIGH SCHOOL ,100 Emmett Ave,Toronto District School Board,English Public,43.6885691951614,-79.506177459366
YORK MEMORIAL COLLEGIATE INSTITUTE,1700 Keele St,Toronto District School Board,English Public,43.6845465069876,-79.473699193678
