Name,Cuisine,Latitude,Longitude
St. Louis Bar & Grill,chicken,43.7678673,-79.4673671
Amazing Shawarma,,43.7398036,-79.2362232
Chiang Mai,,43.6656019,-79.4694448
3 Brewers,burger;pizza;seafood,43.6555018,-79.3803803
Gabby's,,43.729186,-79.4030994
PhaYao Thai,thai,43.7335874,-79.4041986
Toasted on Roncy,,43.6416786,-79.4470949
Cactus Club Cafe,international,43.61287,-79.5600002
The Chestnut Tree,,43.6541294,-79.3850984
Hello 123,,43.6433847,-79.4234943
Mademoiselle,,43.6444753,-79.3991963
Rodney's Oyster House,,43.644953,-79.3969096
Peking Man Restaurant,,43.7711556,-79.3692898
SunShine Spot,,43.7700926,-79.3747599
Café Polonez,polish,43.6451197,-79.4484135
Sangria Lounge,,43.6435586,-79.4477993
Chinese Hut,chinese,43.7661431,-79.2816389
Miss Fu in ChengDu,chinese,43.6674626,-79.3853834
Big Fat Burrito,,43.6559981,-79.4024513
Wanda's Pie in the Sky,,43.6562403,-79.4025371
The Cottage Cheese,,43.6561828,-79.4028475
Swiss Chalet,chicken,43.7001739,-79.4285846
Fresh,,43.6481175,-79.3956576
Ginger,vietnamese,43.6504582,-79.3892637
Parquet,french,43.6625686,-79.403643
Kinton Ramen,japanese,43.660384,-79.3790342
Fresh,,43.6451654,-79.4149985
Ultra Restaurant and Lounge,,43.6884419,-79.3933109
Evviva,coffee_shop,43.7069088,-79.3969125
Pho Anh Vu,vietnamese,43.7069032,-79.3965485
Copacabana,brazilian,43.7078506,-79.393748
Maja Indian Cuisine,indian,43.6717942,-79.378642
Michi Sushi,sushi,43.7650997,-79.4003626
Paisano's,,43.7646159,-79.4001598
Swiss Chalet,chicken,43.7476461,-79.4068907
Join Sushi,sushi,43.738939,-79.2176324
Pit Stop Tropical Restaurant,,43.8118117,-79.302331
Cafe Landwer,coffee_shop,43.6488126,-79.3851922
Outrigger,,43.6727404,-79.2878315
Shirley Restaurant,,43.689223,-79.2964149
Pho Linh,vietnamese,43.6523966,-79.4341442
Korean Grill House,korean,43.6503762,-79.3893185
Planta Queen,,43.6506351,-79.388204
Jack Astor's,american,43.6451991,-79.3837245
Trio 3,,43.7688128,-79.414216
Yorkville Crepes,crepe,43.6719852,-79.3878498
Lahori Taste,pakistani,43.7465475,-79.2880804
Shinyi Dumplings,chinese,43.6677913,-79.3855938
Sushi Ichiban,sushi,43.7591926,-79.311164
The Bullger Burger & Steak,burger,43.7594429,-79.3099598
Jack Astor's,american,43.6141539,-79.5601185
Chef of India,indian,43.707123,-79.397356
Benihana,japanese;teppanyaki;steak,43.6457221,-79.3823359
Bardi's Steak House,steak_house,43.6462201,-79.3830742
Aaha,,43.6546371,-79.3901046
Lamhan Banh Mi,vietnamese;sandwich,43.6634074,-79.4185968
Monkey Sushi Restaurant,sushi,43.6657161,-79.4078813
Souvlaki Place,greek,43.6657069,-79.4079464
Mezcalero,mexican,43.6655608,-79.4084542
