Name,Cuisine,Latitude,Longitude
Future Bistro,,43.6657503,-79.4076226
Brown Donkatsu,korean,43.6657426,-79.4077245
Myeongdong,thai;asian,43.6658968,-79.4066406
Indian Desire,indian,43.6658803,-79.4067052
Wild Wing,chicken,43.6664294,-79.4056319
Crafty Coyote,,43.6655252,-79.4087476
EAT BKK,thai,43.6655059,-79.4088218
Peace Resturant,chinese,43.6654879,-79.4088864
Gully,indian,43.6654601,-79.4090629
Sushi on Bloor,japanese,43.6654241,-79.4091785
Insomnia,,43.6650738,-79.4107978
Kibo Sushi,sushi,43.665208,-79.4101999
Korean Grill House,korean,43.6692895,-79.3865689
Mogouyan Hand Pulled Noodle,chinese,43.6694587,-79.3866313
Monga Fried Chicken,chicken,43.6676205,-79.3858505
A BBQ House,korean;barbecue,43.667101,-79.3856484
Sansotei Ramen,ramen,43.6668025,-79.3855287
Shamshiri Restaurant,persian,43.6667291,-79.3854925
El Gourmet,lebanese,43.6720855,-79.3858411
Kiro Sushi,sushi,43.6723075,-79.3872038
Madras Curry,indian,43.6634338,-79.3725845
Terrazza,,43.6590912,-79.4221831
Bike Joint,,43.6605538,-79.4150877
Maguro House,,43.6367455,-79.3971814
The Belsize Public House,,43.702645,-79.3876506
Mr Fish,seafood;chinese,43.7735444,-79.4136429
Upper East Food Club,,43.7734604,-79.4136102
Meet Fresh,taiwanese,43.7733809,-79.4135886
Midori Ramen,,43.7733309,-79.4135758
St. Louis Bar & Grill,chicken,43.7732021,-79.4135493
Cheese Garden,dessert;japanese,43.7728154,-79.4134444
Wako Sushi,japanese;sushi,43.7708252,-79.4129719
Pho 88,vietnamese,43.7705299,-79.4128401
Qing Shu Spicy Hot Pot,chinese,43.7704435,-79.4129068
Kinton Ramen,japanese;ramen,43.769798,-79.4127347
Shawarma Max,shawarma,43.7699157,-79.4127542
Izakaya Tokyo Grill,japanese,43.7700009,-79.412753
Wimpy's,diner,43.7639544,-79.3988515
All-Star Wings & Ribs,,43.7730825,-79.2512864
Shoeless Joe's,grill,43.787719,-79.235297
Golden Griddle,,43.7886794,-79.2358013
Harry's Steak House,,43.6455037,-79.518347
Supernatural,,43.6925477,-79.4410707
One Love Sports Bar,,43.6926047,-79.4412152
Crystal,,43.6926472,-79.4412712
5 Points,,43.6927007,-79.4414312
Paris Steak,steak_house,43.6396104,-79.4213453
Insieme,,43.6396629,-79.4213656
In Japan,sushi,43.6397154,-79.4213857
Thai Barn Na,thai,43.6395148,-79.4218197
Sk Cookks,,43.6396754,-79.4218815
Lac Vien,,43.7211323,-79.4684263
Freshii,salad,43.6702975,-79.3852523
MezGouf,middle_eastern,43.6335385,-79.5314385
Elijah's Automatic Flame Broiled,,43.6248915,-79.507962
Rashnaa,,43.6681399,-79.3689334
New Orleans Seafood & Steakhouse,,43.6777641,-79.5061378
Nikos Greek Grill,greek,43.706874,-79.5051638
Toronto Pho,vietnamese;thai,43.7186772,-79.5075587
Tandoori Time,indian,43.7430568,-79.6029316
The Keg,steak_house,43.766424,-79.4117074
Anjappar Chettinad,,43.7417405,-79.2268845
Milestones,bar_and_grill,43.7780285,-79.2554675
Scotty Bons,caribbean,43.6818928,-79.4682842
North of Brooklyn,pizza,43.6818864,-79.4685662
Rebozos Taqueria,mexican,43.6848265,-79.4496041
Sophie's Sports Bar & Grill,,43.6929835,-79.3344738
Brunch On Cosburn Ave,,43.693108,-79.3336215
Kibo Sushi House,sushi;japanese,43.6625658,-79.3326915
Green Mango,thai,43.6477809,-79.510661
Ruth's Chris Steak House,american;steak_house,43.6868894,-79.5998924
Revival,,43.6546671,-79.4199572
Jesse Jr. Restaurant,,43.7871917,-79.26883
Oriental Kitchen,,43.7883922,-79.2667164
Swiss Chalet,chicken,43.7268057,-79.3415071
Swiss Chalet,chicken,43.726981,-79.4803387
Markham Station,,43.7926072,-79.2388165
Jack Astor's,american,43.7774561,-79.2542466
The Chef's House,,43.6509278,-79.3692412
J&G Fried Chicken,chicken,43.6561625,-79.3932813
Shopsy's,,43.6511649,-79.3838083
Ruth's Chris Steak House,american;steak_house,43.6499915,-79.3857217
360 Cooking Studio,,43.6530171,-79.4684087
Chris Jerk,jamaican,43.7896221,-79.302397
The Cherie Bistro,french;italian,43.6651027,-79.380843
The Keg,steak_house,43.7057171,-79.3978766
Chacho's,mexican,43.6977435,-79.389077
