price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
1180000.0,1180000.0,1180000.0,HOUSE,HOUSE,Dovercourt Wallace Emerson Junction,43.6738208,-79.4372894,3,0,2,1750.0,223.15,1801.49,370.02,543.46,648.63,509.12,754.11,1515.25,53,62,34,4,2502363,26022878,,171,171,Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,,17824785.0,Junction-Wallace Emerson
1149900.0,1149900.0,1149900.0,HOUSE,HOUSE,Trinity Bellwoods,43.7946774,-79.1695412,3,1,2,1300.0,448.95,3216.6,441.09,685.89,1240.45,635.29,1414.54,10254.24,0,25,11,28,2502339,26022854,,134,134,Highland Creek,Highland Creek (134),Not an NIA or Emerging Neighbourhood,,17825169.0,Highland Creek
1199900.0,1199900.0,1199900.0,HOUSE,HOUSE,High Park Swansea,43.6485268,-79.4756517,2,1,6,900.0,266.38,1828.29,352.1,205.84,276.66,253.83,299.88,354.23,32,49,24,101,2502266,26022781,,87,87,High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,,17826337.0,High Park-Swansea
1199900.0,1199900.0,1199900.0,HOUSE,HOUSE,Corso Italia Davenport,43.6797738,-79.4549643,3,0,2,1300.0,559.23,2693.34,525.88,760.24,555.91,717.96,304.53,2497.62,40,53,36,65,2502302,26022817,,92,92,Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,,17825761.0,Corso Italia-Davenport
1150000.0,1150000.0,1150000.0,HOUSE,HOUSE,Clairlea Birchmount,43.7089861,-79.2913771,2,1,3,900.0,222.3,638.45,245.93,927.14,1145.27,199.63,397.34,1019.37,4,40,20,69,2502298,26022813,,120,120,Clairlea-Birchmount,Clairlea-Birchmount (120),Not an NIA or Emerging Neighbourhood,,17825825.0,Clairlea-Birchmount
1149000.0,1149000.0,1149000.0,HOUSE,HOUSE,Wychwood,43.6792763,-79.4297103,2,0,3,900.0,172.1,1154.51,171.19,532.89,187.68,301.95,381.87,1321.69,52,69,39,64,2502303,26022818,,94,94,Wychwood,Wychwood (94),Not an NIA or Emerging Neighbourhood,,17825745.0,Wychwood
1189000.0,1189000.0,1189000.0,HOUSE,HOUSE,Malvern,43.8141531,-79.21549639999999,4,0,2,1750.0,228.48,3849.14,278.56,660.21,974.14,811.84,483.24,9878.85,1,29,22,17,2502350,26022865,,146,146,Malvern East,Malvern East (146),Emerging Neighbourhood,EN,17824993.0,Malvern East
1295000.0,1295000.0,1295000.0,HOUSE,HOUSE,High Park Swansea,43.6400268,-79.4762137,3,1,3,1750.0,411.58,2120.0,105.85,850.14,1163.79,1035.35,1094.25,1259.67,0,40,14,101,2502266,26022781,,87,87,High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,,17826337.0,High Park-Swansea
1288000.0,1288000.0,1288000.0,HOUSE,HOUSE,Lawrence Park North,43.73107210000001,-79.3963175,3,0,2,1300.0,483.54,2028.65,413.68,815.67,600.79,659.59,723.9,721.55,17,30,22,54,2502313,26022828,,105,105,Lawrence Park North,Lawrence Park North (105),Not an NIA or Emerging Neighbourhood,,17825585.0,Lawrence Park North
1299999.0,1299999.0,1299999.0,HOUSE,HOUSE,The Beaches,43.6747093,-79.2890201,3,1,2,1300.0,202.66,3347.66,402.89,916.74,608.5,524.54,299.47,1888.5,36,30,22,93,2502274,26022789,,63,63,The Beaches,The Beaches (63),Not an NIA or Emerging Neighbourhood,,17826209.0,The Beaches
